270024,"AIC Adelaide                  ","20224   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270025,"AIC Adelaide                  ","20208   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270026,"AIC Adelaide                  ","19402   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270027,"AIC Adelaide                  ","19405   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270028,"AIC Adelaide                  ","20139   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270029,"AIC Adelaide                  ","19395   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270030,"AIC Adelaide                  ","19408   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270031,"AIC Adelaide                  ","19107   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270032,"AIC Adelaide                  ","19397   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
270033,"AIC Adelaide                  ","20712   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
269780,"AIC Adelaide                  ","20210   ",2020-04-27 00:00:00.000,AFC,NULL,0,2,"HR                  "
291743,"AIC Adelaide                  ","20176   ",2020-05-07 00:00:00.000,AFC,NULL,0,2,"HR                  "
291742,"AIC Adelaide                  ","20516   ",2020-05-07 00:00:00.000,AFC,NULL,0,2,"HR                  "
291744,"AIC Adelaide                  ","20324   ",2020-05-07 00:00:00.000,AFC,NULL,0,2,"HR                  "
291745,"AIC Adelaide                  ","20039   ",2020-05-07 00:00:00.000,AFC,NULL,0,2,"HR                  "
291746,"AIC Adelaide                  ","21006   ",2020-05-07 00:00:00.000,AFC,NULL,0,2,"HR                  "
290532,"AIC Adelaide                  ","19107   ",2020-05-07 00:00:00.000,AFC,NULL,0,2,"HR                  "
274136,"AIC Adelaide                  ","19395   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274137,"AIC Adelaide                  ","19107   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274138,"AIC Adelaide                  ","19397   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274139,"AIC Adelaide                  ","20712   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274113,"AIC Adelaide                  ","20516   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274114,"AIC Adelaide                  ","20324   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274115,"AIC Adelaide                  ","19390   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274116,"AIC Adelaide                  ","19411   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274117,"AIC Adelaide                  ","20176   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274120,"AIC Adelaide                  ","20039   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274122,"AIC Adelaide                  ","20763   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274127,"AIC Adelaide                  ","19373   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274128,"AIC Adelaide                  ","20205   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274130,"AIC Adelaide                  ","19408   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274131,"AIC Adelaide                  ","20224   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274132,"AIC Adelaide                  ","20208   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274133,"AIC Adelaide                  ","19402   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274134,"AIC Adelaide                  ","19405   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
274135,"AIC Adelaide                  ","20139   ",2020-04-29 00:00:00.000,AFC,NULL,0,2,"HR                  "
290364,"AIC Adelaide                  ","20516   ",2020-05-06 00:00:00.000,AFC,NULL,0,2,"HR                  "
290366,"AIC Adelaide                  ","20176   ",2020-05-06 00:00:00.000,AFC,NULL,0,2,"HR                  "
290365,"AIC Adelaide                  ","20176   ",2020-05-06 00:00:00.000,AFC,NULL,0,2,"HR                  "
290367,"AIC Adelaide                  ","20324   ",2020-05-06 00:00:00.000,AFC,NULL,0,2,"HR                  "
290368,"AIC Adelaide                  ","20039   ",2020-05-06 00:00:00.000,AFC,NULL,0,2,"HR                  "
290369,"AIC Adelaide                  ","21006   ",2020-05-06 00:00:00.000,AFC,NULL,0,2,"HR                  "
270368,"AIC Adelaide                  ","19373   ",2020-04-28 00:00:00.000,AFC,Completing work from home due to concerns with COVID19,0,2,"HR                  "
270369,"AIC Adelaide                  ","20224   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270370,"AIC Adelaide                  ","20208   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270371,"AIC Adelaide                  ","19402   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270372,"AIC Adelaide                  ","19405   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270373,"AIC Adelaide                  ","20205   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270374,"AIC Adelaide                  ","20139   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
